"card_slug","card_name","issuer","rank","picking_rate_percent","monthly_saving","previous_spend","monthly_cap","rule_count","tier_count","has_external_benchmark","risk_score","priority","risk_signals","source_url","search_queries"
"naver-card-10398","BC 바로 MACAO 카드","BC","3","30.071","210500","300000","300000","6","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://app.paybooc.co.kr/ui/appLink?landingId=P0901PG002W&cardPdctCd=101010&incnChnlDv=Mobile&affiCd=R011","BC 바로 MACAO 카드 피킹률 | BC 바로 MACAO 카드 실제 혜택 | BC BC 바로 MACAO 카드 카드 추천"
"naver-card-10134","삼성 BIZ iD BENEFIT 카드","삼성","5","16.361","114525","500000","300000","4","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1758&alncmpC=QACDMB21&affcode=QACDMB21&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1758_%EC%82%BC%EC%84%B1%20BIZ%20iD%20BENEFIT%20%EC%B9%B4%EB%93%9C&utm_campaign=%EC%82%BC%EC%84%B1%20BIZ%20iD%20BENEFIT%20%EC%B9%B4%EB%93%9C&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","삼성 BIZ iD BENEFIT 카드 피킹률 | 삼성 BIZ iD BENEFIT 카드 실제 혜택 | 삼성 삼성 BIZ iD BENEFIT 카드 카드 추천"
"naver-card-10045","우리 국민행복카드 S2","우리","6","16.236","113650","300000","300000","5","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=100860&canvasser=88801075&utm_source=naver_cs&utm_medium=cpc&utm_campaign=M_%EC%B9%B4%EB%93%9C%EC%84%B9%EC%85%98&utm_content={keyword}&utm_term=%EA%B5%AD%EB%AF%BC%ED%96%89%EB%B3%B5%EC%B9%B4%EB%93%9Cs2","우리 국민행복카드 S2 피킹률 | 우리 국민행복카드 S2 실제 혜택 | 우리 우리 국민행복카드 S2 카드 추천"
"naver-card-10580","우리카드 UniMile","우리","7","13.893","97250","500000","100000","4","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=104153&canvasser=88801076&utm_source=naver_cs&utm_medium=cpc&utm_campaign=PC_카드섹션&utm_term={keyword}&utm_content=%EC%9A%B0%EB%A6%AC%EC%B9%B4%EB%93%9C%20UniMile","우리카드 UniMile 피킹률 | 우리카드 UniMile 실제 혜택 | 우리 우리카드 UniMile 카드 추천"
"naver-card-10523","삼성 iD SELECT ON 카드","삼성","10","12.362","86533","300000","300000","7","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1877&alncmpC=QACDMB24&affcode=QACDMB24&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1877_%EC%85%80%EC%98%A8&utm_campaign=%EC%85%80%EC%98%A8&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","삼성 iD SELECT ON 카드 피킹률 | 삼성 iD SELECT ON 카드 실제 혜택 | 삼성 삼성 iD SELECT ON 카드 카드 추천"
"naver-card-10128","별다줄카드","NH농협","11","11.843","82900","300000","300000","5","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90010137&FromSite=53","별다줄카드 피킹률 | 별다줄카드 실제 혜택 | NH농협 별다줄카드 카드 추천"
"naver-card-1360","IBKhi카드","IBK기업은행","12","11.833","82833","200000","200000","4","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?pageId=CA01020000&PDLN_CD=12&PDGR_CD=11&PDTM_CD=258&PDCD=0001&ad_cd=nvmo&mz_cd=ADGROUN","IBKhi카드 피킹률 | IBKhi카드 실제 혜택 | IBK기업은행 IBKhi카드 카드 추천"
"naver-card-10343","삼성 iD GLOBAL 카드","삼성","13","11.090","77633","500000","300000","10","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1824&alncmpC=QACDMB38&affcode=QACDMB38&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1824_%EC%82%BC%EC%84%B1%20iD%20GLOBAL%20%EC%B9%B4%EB%93%9C&utm_campaign=%EC%82%BC%EC%84%B1%20iD%20GLOBAL%20%EC%B9%B4%EB%93%9C&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","삼성 iD GLOBAL 카드 피킹률 | 삼성 iD GLOBAL 카드 실제 혜택 | 삼성 삼성 iD GLOBAL 카드 카드 추천"
"naver-card-10320","JADE Classic","하나","14","10.774","75417","500000","100000","3","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://m.hanacard.co.kr/JADEINTROM.web?CD_PD_SEQ=17548","JADE Classic 피킹률 | JADE Classic 실제 혜택 | 하나 JADE Classic 카드 추천"
"naver-card-10573","에너지플러스 현대카드","현대","16","9.274","64917","400000","100000","2","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=GEPHC","에너지플러스 현대카드 피킹률 | 에너지플러스 현대카드 실제 혜택 | 현대 에너지플러스 현대카드 카드 추천"
"naver-card-10442","NH농협 기후동행카드","NH농협","17","9.095","63667","300000","300000","8","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://card.nonghyup.com/index_cardProd.html?SERVICE_ID=IPCC2021R&NAVIGATE_TYPE=1&cd_wrs_sqno=90010526&FromSite=53","NH농협 기후동행카드 피킹률 | NH농협 기후동행카드 실제 혜택 | NH농협 NH농협 기후동행카드 카드 추천"
"naver-card-10299","IBK기업 I-어디로든 그린카드","IBK기업은행","20","8.107","56750","300000","300000","5","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.ibk.co.kr/cardbiz/detailBizNew.ibk?PDLN_CD=12&PDGR_CD=11&PDTM_CD=343&PDCD=0001&ad_cd=nvmo&mz_cd=ADGROUN","IBK기업 I-어디로든 그린카드 피킹률 | IBK기업 I-어디로든 그린카드 실제 혜택 | IBK기업은행 IBK기업 I-어디로든 그린카드 카드 추천"
"naver-card-10480","다이소 삼성카드","삼성","21","7.355","51483","300000","240000","6","1","false","98","P0","estimated_rule | single_tier_high_cap | monthly_cap_outlier | high_picking_without_external_benchmark | not_officially_verified","https://www.samsungcard.com/personal/card/simple-apply/UHPPCA0225M0.jsp?code=AAP1653&alncmpC=QACDMB19&affcode=QACDMB19&BSCPN=BCTS&BSPRG=MNAVERCARD&BSCCN1=MB_%EC%8B%A0%EA%B2%80_AAP1653_%EB%8B%A4%EC%9D%B4%EC%86%8C%20%EC%82%BC%EC%84%B1%EC%B9%B4%EB%93%9C&utm_campaign=%EB%8B%A4%EC%9D%B4%EC%86%8C%20%EC%82%BC%EC%84%B1%EC%B9%B4%EB%93%9C&utm_medium=CSA&utm_source=%EB%84%A4%EC%9D%B4%EB%B2%84%20%EC%8B%A0%EC%9A%A9%EC%B9%B4%EB%93%9C%20%EA%B2%80%EC%83%89%20%EB%AA%A8%EB%B0%94%EC%9D%BC&utm_term={query}","다이소 삼성카드 피킹률 | 다이소 삼성카드 실제 혜택 | 삼성 다이소 삼성카드 카드 추천"
